,평점,날짜,후기
0,4.4,2024.03.15.,
1,3.5,2023.12.04.,최고놀러가기 좋음
2,1.9,2023.11.27.,환경이 너무 열악해요; 강아지들 도살장이나 교배장처럼 밥도안주고 굶겼다가 먹이주기를 하는건가요;? 에초에 소동물 키우는걸 잘 모르는거같은데 동물학대에요 그거
3,3.0,2023.10.21.,
4,4.6,2023.09.24.,
5,4.5,2023.09.06.,
6,3.0,2023.08.15.,"애들과 동물체험 먹이주기 등등
너무 좋아하네요
놀이방도 있고 애들이 신나게 놀아서 좋아요"
7,1.8,2023.07.24.,
8,3.5,2022.11.23.,"너무 비싸고 동물도 한두마리정도 뿐. 종류도 많이 없고 햄스터,토끼 등 뭐랄까 안흔한 동물보다 흔한 동물이 많아서 재방문 의사 없어용"
9,3.0,2022.01.30.,
