,평점,날짜,후기
0,2.0,2024.01.05.,
1,4.7,2023.08.25.,사육사님이 친절하셔요! 게코 진짜 궁금했는데 만져보게 해주셔서 신기했어요:)뱀 허물도 신기했네요
2,4.5,2023.05.05.,"별기대 안하고 갔는데 아이데리고 가기 꽤 좋았어요.
벌써 아이가 또 가자고 하네요 ㅎㅎ"
3,5.0,2022.11.06.,왜 1점 주셨는지 모를만큼 제가 그동안 안본 동물들이 여기 다 모여있네요 좋았습니다~
4,3.5,2022.07.26.,"리뷰가 다들 좋아서 오늘 다녀왔는데 다신 안올거같아요
일단 규모는 크지 않고 가성비도 떨어져요
무엇보다 관리를 안하는 느낌을 쎄게 받았어요
오늘 제일 큰 충격을 받았던거는 프레리도그였는데요
두마리가 가까이서 사이좋게 붙어있길래
자세히 봤더니 한명이 다른 한명을 먹고있더군요
애들도 같이 지켜보고 저한테 뭐하냐고 물어보는데 뭐라고 답해줘야할지 모르겠더군요"
